视频地址,弹幕地址,弹幕时间,弹幕内容,情感得分,分析结果
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-17 11:33:31,对周杰伦脱粉了,0.30181627974415026,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-20 22:50:45,他女儿会不会有一天也被拉来呀，开始提前同情孩子了哈哈哈哈,0.9941865064052529,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-26 13:17:13,第一次觉得这本草纲目这么长,0.5180921164419406,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-24 10:16:59,认真看了会瘦吗(doge),0.943749663530914,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-23 22:45:07,突然觉得杰伦这首歌好长哈哈哈哈哈哈,0.9965519779352988,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-23 15:19:02,哇他好潮还会用泫雅的歌哈哈哈哈,0.9935464049112956,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-22 19:02:47,除非周杰伦也一起跳，不然我不跳(●'◡'●),0.04415579440719686,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-22 01:46:05,杰伦:没想到用这种方式打歌哈哈哈,0.9754708920496445,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-21 15:19:19,练了这个，我对周杰伦直接粉转黑,0.6715497279204975,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-21 13:35:30,哈哈哈哈 2000+小伙伴有多少是坐着看的,0.9666358832337769,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-21 13:34:03,跟了直播两个两个小时，然后他说热身结束，，,0.09392563630788942,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-21 12:47:18,杰伦看到后连夜背着奶茶跑了,0.7606678899721222,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-21 10:00:38,感觉是我生命最后的五分钟,0.9664387691811136,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2022-04-19 23:16:14,我看是为了吓吓我的脂肪,0.9434089754700062,积极
