发布时间,发布地点,微博内容,转发次数,评论条数,点赞次数
2023-07-14  20:30:02,北京,【韩路游记】纯电穿越中国最大沙漠（上集） http://t.cn/A60LlYXH ,408,434,1872
2022-04-16  13:33:11, ,韩路大制作汇总（常年置顶） 按从新到旧排序。最新更新于2023年7月14日  【韩路游记】纯电穿越中国最大沙漠（上集）-4K60 http://t.cn/A60LT4lf  【顶尖探访】孵化两亿年前的远古生物-鲎虫-4K60 http://t.cn/A6pCWN87  【韩路游记】穿越昆仑死亡谷（上集）-4K60 http://t.cn/A6pLniNx 【韩路游记】穿越 ,930,434,4545
2023-07-15  17:08:32,新疆,今儿在石林无人区，我们L7救了一辆坦克300，然后带着嘉宾在2900米美丽草原吃了一顿火锅。 ,7,134,280
2023-07-15  12:43:59,新疆,认真仔细拍节目、不断进化拍摄剪辑包装特效、对得起观众、对得起赞助节目的厂家。这季游记，我们又进化了很多细节和手法，大家来看看。,24,71,264
2023-07-15  11:15:57,新疆,独库公路还是值得来一趟的。 ,99,322,1153
2023-07-14  22:32:53,江西,纯电穿沙漠公路[666],7,4,58
2023-07-14  16:05:06,新疆,这车后备厢真是大啊,25,50,198
2023-07-14  15:49:00,北京,开箱精致户外音响 http://t.cn/A60L5nen ,30,36,213
2023-07-14  15:41:53,新疆,不然呢，嘉宾不配吃别的 → http://t.cn/A60L53hB //@俺滴穆雷:📷偶遇韩老师→http://t.cn/A60Lq025,3,84,168
2023-07-14  15:12:09,新疆,安集海大峡谷，真壮观。 ,21,216,747
2023-07-13  18:45:41,北京,前驱车也能玩飘移？！#型格ehev##前驱车##飘移##漂移##驾驶技巧# http://t.cn/A6022UyK ,27,23,89
2023-07-14  00:39:35,新疆,你用你狗眼看看我软件什么时候装的，我都用了好几个月了。软件图标我喜欢放开始菜单里，不放桌面→ http://t.cn/A602aetv //@唐唐唐唐唐桑:舒服个屁啊别硬吹好么？你连个软件都没下还好用。,11,193,372
2023-07-14  00:10:01,新疆,我今天出来玩，李总带了姐去打疫苗了，看起来很乖[航天员][航天员][航天员]  #了姐一下# ,1,51,324
2023-07-13  16:39:30,新疆,在新疆路边车里坐着，突然窗户里伸进一只手，问我：买表么？我自己的，不要了，给你1500元。 ,26,441,1175
2023-07-13  15:00:50,新疆,就等你这留言呢！我对于AT胎肯定优先买大厂：百路驰、固铂。但255 50/R20他们都不出这规格AT胎，我们只能被迫去买二三线品牌或者杂牌。//@低档老司机:都能凑合，AT胎不行。,4,58,115
2023-07-13  14:24:03,广东,已经出发，我来了，我觉得杰灵太熟了就别安排我和他一车了，恩博太高了，也别安排我一车，我觉得秋晨和我一车挺合适的，希望@韩路 能看到，满足我这个小心愿[心],2,68,154
2023-07-13  14:14:03,新疆,这次新疆秘境的韩路游记，也是我第一次带这么多嘉宾（杰灵、志斌、秋晨、向导老张、恩博）不过这次开理想L7，这一路大家舒服倒是没问题，外加还有外放电，我们得用好，各种给嘉宾涮肉+煮面，毕竟我们自己团队按传统不吃饭没问题，嘉宾不吃饭估计（那是一定）得闹事吧。  没用21寸轮子的版本，用的原厂2 ,35,321,973
2023-07-13  12:42:50,新疆,本次韩路游记午饭清单：第一天西瓜就馕、第二天西瓜就馕、第三天西瓜就馕、第四天西瓜就馕、第五天西瓜就馕。第六天结束这趟愉快的游记，送机返回北京。馕参考右图→ http://t.cn/A60A0DXQ,8,163,364
2023-07-13  12:06:51,新疆,但凡给帕杰罗换个稍微好一丢丢的发动机和精致一丢丢的内饰，哪怕没有电池和电机，在普拉多退市的前提下，也能卖的很好。三菱黄了不冤。,27,165,330
2023-07-13  11:40:34,新疆,今日小草湖勾起两年前的记忆。转头看到另外一台车上的两位西域美女心情又好起来了。  ,2,27,53
2023-07-13  11:01:31,新疆,刚才帖子里，大家说插混的车还得两套保养，我倒是不觉得有啥两套感知。  你看我这车，不到一年1.5万公里，在我一堆车里算开的最多的了，然后一年也就机油机滤换一下而已，空调滤是所有车每年都得换的。就算机油机滤保养，也是代驾开走去弄（起码理想在北京是这样，其他品牌及理想在全国是不是，我不知 ,4,174,288
2023-07-13  10:56:00,新疆,这也太瞎讲究了。还测水质，PH不满意，你是不游了么，泳池里最多的尿素和大肠杆菌也没见到测啊.....然后游之前拿个内裤我搞不懂啥意思，泳衣里面还穿内裤啊？游泳还带手蹼......完事还洗眼睛，这都啥啊......,78,591,1402
2023-07-13  10:35:24,新疆,看你这个需求，反而是最需要插电混动的车了（注：增程属于插混的一种），因为现在插混车，电池都在30-40度左右，你每天30公里通勤，起码能用3-4天才需要充电。而节假日有可能1300公里长途，那一路上需要充至少2次电，大概率还会排队等充电，非常烦躁，这种情况插混加油跑就行了。  所以，正好你描述就 ,13,301,411
2023-07-13  09:52:41,新疆,我这个拯救者Y9000P的2023满配版，出差真是爽啊，超高性能干啥一点不慢，还能打战舰世界。  处理器：13900HX 内存：32G-DDR5 显卡：4090 硬盘：1TB-SSD 屏幕：2560x1600-240Hz  另外就是在大满配主机对散热要求很高的前提下，它重量依然很克制，并且整机个头不是很夸张。还有全键盘（带右侧数字小键盘 ,31,344,540
2023-07-13  07:31:42,广东,一大早跟我霖哥出差  两人都各自去厕所吐了一轮 （不是看对方恶心的  这一波 母子局 ,7,163,1496
2023-07-13  08:15:02,北京,【神体验】第184集：手机没信号，如何与外界通联？  一种是传统的卫星电话进行通讯，第二种是支持北斗卫星消息双向报文的设备比如华为Mate X3或者P60系列，这次我就给大家讲讲这两种通讯方式的怎么用，另外还有用户有疑问，那在实际生活中也会有能用到的场合吗？看我这期栏目，给你讲清楚。 ,117,93,614
2023-07-13  00:02:37,英国,刚才入住酒店，同行都是中国的媒体，然后忽然现代的小姐姐只单独过来欢迎直接说韩语，咱就说有那么像韩国人吗[允悲][允悲][允悲] ,30,450,2949
2023-07-12  21:31:09,新疆,新疆标准餐：烤肉+拌面 +烤包子 ,47,253,752
